,Match,Team1,Team2,Match_Date,Team1_Recent_form,Team2_Recent_form,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Head_to_Head_Team1_result_percentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
221,2014SkvsAlg,South Korea,Algeria,6/22/2014,1.5,4.0,57,22,0,0,0,1,0.333333,Loss,28,26
222,2014UsvsPor,United States,Portugal,6/22/2014,4.0,3.5,13,4,0,1,1,3,0.5,Draw,16,8
223,2014AusvsSpa,Australia,Spain,6/23/2014,0.5,3.0,62,1,0,0,3,6,0.0,Loss,32,3
224,2014BravsCam,Brazil,Cameroon,6/23/2014,4.5,1.5,3,56,2,5,0,0,0.8,Win,5,31
225,2014CrovsMex,Croatia,Mexico,6/23/2014,3.5,2.5,18,20,0,1,0,1,0.5,Loss,18,15
226,2014NethvaChi,Netherlands,Chile,6/23/2014,4.5,3.0,15,14,2,4,1,2,0.75,Win,7,14
227,2014CoRivsEng,Costa Rica,England,6/24/2014,2.5,2.0,28,10,0,1,1,2,0.5,Draw,20,10
228,2014GrevsIo,Greece,Ivory Coast,6/24/2014,2.5,2.5,12,23,0,1,1,2,1.0,Win,17,25
229,2014ItavsUrg,Italy,Uruguay,6/24/2014,2.0,3.0,9,7,1,2,1,2,0.4,Loss,2,13
230,2014JapvsCol,Japan,Colombia,6/24/2014,3.5,4.0,46,8,0,1,1,2,0.166667,Loss,27,12
231,2014BosvsIr,Bosnia,Iran,6/25/2014,2.0,2.5,21,43,0,1,0,0,0.0,Win,19,29
232,2014EcuvsFra,Ecuador,France,6/25/2014,2.0,4.5,26,17,0,1,1,3,0.25,Draw,22,4
233,2014HonvsSwi,Honduras,Switzerland,6/25/2014,1.0,3.5,33,6,0,0,0,1,0.25,Loss,30,11
234,2014NigvsArg,Nigeria,Argentina,6/25/2014,2.5,4.5,44,5,0,1,2,4,0.214286,Loss,23,6
235,2014AlgvsRuss,Algeria,Russia,6/26/2014,4.0,3.0,22,19,0,1,0,1,0.5,Draw,26,21
236,2014SKvsBel,South Korea,Belgium,6/26/2014,1.5,5.0,57,11,0,0,1,3,0.125,Loss,28,9
237,2014PorvsGha,Portugal,Ghana,6/26/2014,3.0,1.5,4,37,1,3,0,1,1.0,Win,8,24
238,2014UsvsGer,United States,Germany,6/26/2014,3.5,3.5,13,2,0,1,2,4,0.3,Loss,16,1
239,2014BravsChi,Brazil,Chile,6/28/2014,4.5,3.0,3,14,2,5,1,2,0.801471,Draw,5,14
240,2014ColvsUrg,Colombia,Uruguay,6/28/2014,4.5,3.5,8,7,1,2,1,2,0.423077,Win,12,13
241,2014CoRIivsGree,Costa Rica,Greece,6/29/2014,3.0,3.0,28,12,0,1,0,1,0.5,Draw,20,17
242,2014NethvsMex,Netherlands,Mexico,6/29/2014,5.0,2.5,15,20,2,4,0,1,0.642857,Win,7,15
243,2014FravsNig,France,Nigeria,6/30/2014,4.0,2.0,17,44,1,3,0,1,0.5,Win,4,23
244,2014GervsAlg,Germany,Algeria,6/30/2014,4.0,3.5,2,22,2,4,0,1,0.333333,Win,1,26
245,2014ArgvsSwi,Argentina,Switzerland,7/1/2014,5.0,4.0,5,6,2,4,0,1,0.833333,Win,6,11
246,2014BelvsUs,Belgium,United States,7/1/2014,5.0,3.5,11,13,1,3,0,1,0.833333,Win,9,16
247,2014BravsCol,Brazil,Colombia,7/4/2014,4.0,5.0,3,8,2,5,1,2,0.76,Win,5,12
248,2014FracsGer,France,Germany,7/4/2014,4.5,4.5,17,2,1,3,2,4,0.56,Loss,4,1
249,2014ArgvsBel,Argentina,Belgium,7/5/2014,5.0,5.0,5,11,2,4,1,3,0.75,Win,6,9
250,2014NethvsCoRi,Netherlands,Costa Rica,7/5/2014,5.0,3.5,15,28,2,4,0,1,0.0,Draw,7,20
251,2014BravsGer,Brazil,Germany,7/8/2014,4.0,4.5,3,2,2,5,2,4,0.690476,Loss,5,1
252,2014NethvsArg,Netherlands,Argentina,7/9/2014,4.5,5.0,15,5,2,4,2,4,0.6875,Draw,7,6
253,2014BravsNeth,Brazil,Netherlands,7/12/2014,3.0,4.0,3,15,2,5,2,4,0.5,Loss,5,7
254,2014GervsArg,Germany,Argentina,7/13/2014,4.5,4.5,2,5,2,4,2,4,0.425,Win,1,6
255,2018RussvsSA,Russia,Saudi Arabia,6/14/2018,1.0,2.0,70,67,1,1,0,0,0.5,Win,19,31
256,2018EgyvsUru,Egypt,Uruguay,6/15/2018,1.0,3.5,45,14,2,2,3,4,0.0,Loss,20,10
