Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
2018SwevsSwi,Sweden,Switzerland,24,6,2,2,2,3,,,,1,15,6
2018ColvsEng,Colombia,England,16,12,3,4,4,6,,,,0,16,9
218UruvsFra,Uruguay,France,14,7,3,4,6,8,,,,-1,10,5
2018BravsBel,Brazil,Belgium,2,3,7,10,6,8,,,,-1,4,1
2018SwevsEng,Sweden,England,24,12,2,2,4,6,,,,-1,15,9
2018RusvsCro,Russia,Croatia,70,20,1,1,4,5,,,,0,19,13
2018FravsBel,France,Belgium,7,3,6,8,6,8,,,,1,5,1
2018CrovsEng,Croatia,England,20,12,4,5,4,6,,,,1,13,9
2018BelvsEng,Belgium,England,3,12,6,8,4,6,,,,1,1,9
2018_Final_FravsCro,France,Croatia,7,20,6,8,4,5,,,,1,5,13
2022QatvsEcu,Qatar,Ecuador,50,44,0,1,1,2,,,,-1,32,23
2022SenvsNeth,Senegal,Netherlands,18,8,1,3,2,5,,,,-1,15,8
2022QatvsSen,Qatar,Senegal,50,18,0,1,1,3,,,,-1,32,15
2022NethvsEcu,Netherlands,Ecuador,8,44,2,5,1,2,,,,0,8,23
2022EcuvsSen,Ecuador,Senegal,44,18,1,2,1,3,,,,-1,23,15
2022NethvsQat,Netherlands,Qatar,8,50,2,5,0,1,,,,1,8,32
2022EngvsIra,England,Iran,5,20,2,6,0,1,,,,1,9,30
2022UsvsWal,United states,Wales,16,19,1,3,1,2,,,,0,17,22
2022WalvsIra,Wales,Iran,19,20,1,2,0,1,,,,-1,22,30
2022EngvsUs,England,United states,5,16,2,6,1,3,,,,0,9,17
2022WalsvsEng,Wales,England,19,5,1,2,2,6,,,,-1,22,9
2022IravsUs,Iran,United states,20,16,0,1,1,3,,,,-1,30,17
2022ArgvsSA,Argentina,Saudi Arabia,3,51,3,6,0,1,,,,-1,5,31
2022MexvsPol,Mexico,Poland,13,26,1,3,1,2,,,,0,18,13
2022PolvsSA,Poland,Saudi Arabia,26,51,1,2,0,1,,,,1,13,31
2022ArgvsMex,Argentina,Mexico,3,13,3,6,1,3,,,,1,5,18
2022PolvsArg,Poland,Argentina,26,3,1,2,3,6,,,,-1,13,5
2022SAvsMex,Saudi Arabia,Mexico,51,13,0,1,1,3,,,,-1,31,18
2022DenvsTun,Denmark,Tunisia,10,30,1,4,0,1,,,,0,14,25
2022FravsAus,France,Australia,4,38,4,8,0,1,,,,1,4,29
2022TunvsAus,Tunisia,Australia,30,38,0,1,0,1,,,,-1,25,29
2022FravsDen,France,Denmark,4,10,4,8,1,4,,,,1,4,14
2022AusvsDen,Australia,Denmark,38,10,0,1,1,4,,,,1,29,14
2022TunvsFra,Tunisia,France,30,4,0,1,4,8,,,,1,25,4
2022GervsJap,Germany,Japan,11,24,2,6,0,2,,,,-1,2,20
2022SpavsCoRi,Spain,Costa Rica,7,31,2,6,1,2,,,,1,6,24
2022JapvsCoRi,Japan,Costa Rica,24,31,0,2,1,2,,,,-1,20,24
2022SpavsGer,Spain,Germany,7,11,2,6,2,6,,,,0,6,2
2022JapvsSpa,Japan,Spain,24,7,0,2,2,6,,,,1,20,6
2022CoRivsGer,Costa Rica,Germany,31,11,1,2,2,6,,,,-1,24,2
2022MorvsCro,Morocco,Croatia,22,12,1,3,2,4,,,,0,16,10
2022BelvsCan,Belgium,Canada,2,41,3,7,1,2,,,,1,1,28
2022BelvsMor,Belgium,Morocco,2,22,3,7,1,3,,,,-1,1,16
2022CrovsCan,Croatia,Canada,12,41,2,4,1,2,,,,1,10,28
2022CrovsBel,Croatia,Belgium,12,2,2,4,3,7,,,,0,10,1
2022CanvsMor,Canada,Morocco,41,22,1,2,1,3,,,,-1,28,16
2022SwivsCam,Switzerland,Cameroon,15,43,1,3,1,2,,,,1,12,26
2022BravsSer,Brazil,Serbia,1,21,4,9,1,3,,,,1,3,19
2022CamvsSer,Cameroon,Serbia,43,21,1,2,1,3,,,,0,26,19
2022BravsSwi,Brazil,Switzerland,1,15,4,9,1,3,,,,1,3,12
2022ServsSwi,Serbia,Switzerland,21,15,1,3,1,3,,,,-1,19,12
2022CamvsBra,Cameroon,Brazil,43,1,1,2,4,9,,,,1,26,3
2022UruvsSK,Uruguay,South Korea,14,28,2,4,1,2,,,,0,11,21
2022PorvsGha,Portugal,Ghana,9,61,3,6,1,2,,,,1,7,27
2022SKvsGha,South Korea,Ghana,28,61,1,2,1,2,,,,-1,21,27
2022PorvsUru,Portugal,Uruguay,9,14,3,6,2,4,,,,1,7,11
2022GhavsUru,Ghana,Uruguay,61,14,1,2,2,4,,,,-1,27,11
2022SKvsPor,South Korea,Portugal,28,9,1,2,3,6,,,,1,21,7
2022NethvsUs,Netherlands,United states,8,16,2,5,1,3,,,,1,8,17
2022ArgvsAus,Argentina,Australia,3,38,3,6,0,1,,,,1,5,29
2022JapvsCro,Japan,Croatia,24,12,0,2,2,4,,,,0,20,10
2022BravsSK,Brazil,South Korea,1,28,4,9,1,2,,,,1,3,21
2022EngvsSen,England,Senegal,5,18,2,6,1,3,,,,1,9,15
2022FravsPol,France,Poland,4,26,4,8,1,2,,,,1,4,13
2022MorvsSpa,Morocco,Spain,22,7,1,3,2,6,,,,0,16,6
2022PorvsSwi,Portugal,Switzerland,9,15,3,6,1,3,,,,1,7,12
2022NethvsArg,Netherlands,Argentina,8,3,2,5,3,6,,,,0,8,5
2022CrovsBra,Croatia,Brazil,12,1,2,4,4,9,,,,0,10,3
2022EngvsFra,England,France,5,4,2,6,4,8,,,,-1,9,4
2022MorvsPor,Morocco,Portugal,22,9,1,3,3,6,,,,1,16,7
2022ArgvsCro,Argentina,Croatia,3,12,3,6,2,4,,,,1,5,10
2022FravsMor,France,Morocco,4,22,4,8,1,3,,,,1,4,16
2022_Final_ArgvsFra,Argentina,France,3,4,3,6,4,8,,,,0,5,4
2022CrovsMor,Croatia,Morocco,12,22,2,4,1,3,,,,1,10,16
